serial,juso,x,y
2011370000012,경상북도 칠곡군 왜관읍 284-25,128.39779485354248,35.987329806717156
2011370000013,경상북도 칠곡군 왜관읍 296-9,128.39977100005422,35.98746896992364
2011370000072,경상북도 칠곡군 약목면 ,128.3633753909146,36.03256371193432
2011370000100,경상북도 칠곡군 왜관읍 798-,128.39909109250425,35.96151646860573
2011370000208,경상북도 칠곡군 북삼읍 282-2,128.31587059854857,36.05455997908987
2011370000210,경상북도 칠곡군 북삼읍,128.3429758766372,36.0629392137998
2011370000222,경상북도 칠곡군 북삼읍,128.3429758766372,36.0629392137998
2011370000223,경상북도 칠곡군 북삼읍 705,128.316794635146,36.046342135676944
2011370000298,경상북도 구미시 오태동 635,128.35061522144497,36.07378246854571
2011370000309,경상북도 칠곡군 기산면 104-13,128.38466851900736,35.98871482598125
2011370000339,경상북도 칠곡군 북삼읍 1078-9,128.34613151791484,36.07044460860137
2011370000380,경상북도 칠곡군 북삼읍 1049-11,128.34132042120882,36.073688611204595
2011370000406,경상북도 칠곡군 북삼읍 143-0,128.3313928319337,36.06871684323462
2011370000470,경상북도 성주군 초전면 917-5,128.2605423142046,36.010312822006654
2011370000480,경상북도 칠곡군 약목면 498-1,128.35233120752005,36.04926273830014
2011370000628,경상북도 칠곡군 약목면 344-21,128.3717360084576,36.03383088330999
2011370000720,경상북도 칠곡군 북삼읍 1446-7,128.3224785025991,36.077787377224745
2011370000777,경상북도 구미시 오태동 742-5,128.34976465293724,36.0712976809903
2011370000797,경상북도 칠곡군 석적읍 193-3,128.4711453956408,36.05466879597324
2011370000814,경상북도 칠곡군 약목면 847-1,128.39197898601182,36.00543127852792
2011370000850,경상북도 칠곡군 북삼읍 1084-7,128.3482835255102,36.069584153399056
2011370000866,경상북도 칠곡군 북삼읍 245-3,128.3345515539331,36.048856428526285
2011370000939,경상북도 칠곡군 약목면 ,128.3633753909146,36.03256371193432
2011370001017,경상북도 구미시 오태동 765-5,128.35523606164935,36.069822936500316
2011370001008,경상북도 칠곡군 약목면 ,128.3633753909146,36.03256371193432
2011370001097,경상북도 칠곡군 북삼읍 620,128.31090933821213,36.05893987100914
2011370001101,경상북도 칠곡군 북삼읍 1084-7,128.3482835255102,36.069584153399056
2011370001110,경상북도 칠곡군 북삼읍 575-17,128.343061486285,36.054654900116184
2011370001119,경상북도 구미시 상모동 32-4,128.35506886145865,36.08802433082742
2011370001171,경상북도 칠곡군 왜관읍 306-3,128.41219029819197,35.94069411331233
2011370001172,경상북도 칠곡군 지천면 48,128.44352668613953,35.951290118796244
2011370001173,경상북도 칠곡군 왜관읍 494-13,128.4082246077722,36.00318700096978
2011370001182,경상북도 칠곡군 왜관읍 862,128.39771206981135,35.911417276900956
2011370001200,경상북도 칠곡군 왜관읍 206-7,128.3975475866485,35.99795185400726
2011370001267,경상북도 칠곡군 왜관읍 ,128.39770950579592,35.9890285713183
2011370001319,경상북도 칠곡군 왜관읍 950,128.4040510602437,35.96719347830436
2011370001334,경상북도 칠곡군 왜관읍 1067-12,128.42400419867894,35.98247613175445
2011370001498,경상북도 칠곡군 지천면 675,128.44117396163531,35.93964666935883
2011370001567,경상북도 칠곡군 왜관읍 622-8,128.40375471781388,35.9376714647476
2011370001568,경상북도 칠곡군 지천면 399-3,128.47756953399877,35.95463896318921
2011370001572,경상북도 칠곡군 지천면 80,128.44277587925168,35.96217063145053
2011370001589,경상북도 칠곡군 왜관읍 306-1,128.4121385157631,35.96941272363813
2011370001626,경상북도 칠곡군 왜관읍 526-23,128.40688950454012,35.92147157070504
2011370001773,경상북도 칠곡군 지천면 158-4,128.47322723576738,35.963361385213084
2011370001815,경상북도 칠곡군 왜관읍 444-3,128.41413633186613,35.94045131681235
2011370001817,경상북도 칠곡군 지천면 ,128.4909431536921,35.95595502135129
2011370001867,경상북도 칠곡군 지천면 149,128.43722581110092,35.9583154314838
2011370001921,경상북도 칠곡군 왜관읍 272-46,128.43283818508303,35.98196001596029
2011370002015,경상북도 칠곡군 가산면 224,128.5844241218123,36.06114390839634
2011370002023,경상북도 칠곡군 가산면 565-1,128.59454003003128,36.050304471830316
2011370002034,경상북도 칠곡군 가산면 417-6,128.5900696429689,36.05600846358352
2011370002067,경상북도 칠곡군 석적읍 558,128.40001271178429,36.066583169623186
2011370002126,경상북도 칠곡군 가산면 595,128.59493417334676,36.04938008742482
2011370002183,경상북도 칠곡군 가산면 235-19,128.52051865632237,36.10416952095181
2011370002350,경상북도 칠곡군 가산면 245-7,128.519033432329,36.04752926509048
2011370002373,경상북도 칠곡군 약목면,128.3633753909146,36.03256371193432
2011370002400,경상북도 칠곡군 가산면 943-1,128.5975010698626,36.04417709040735
2011370002522,경상북도 칠곡군 약목면 74,128.3912710551176,36.02169261695722
2011370002536,경상북도 칠곡군 왜관읍 789-34,128.39630180889955,35.9816338886074
2011370002547,경상북도 칠곡군 석적읍 513,128.45816050147758,36.04812662396566
2011370002548,경상북도 칠곡군 약목면 923-2,128.39043185428224,36.000190110557064
2011370002582,경상북도 칠곡군 왜관읍 777-147,128.40045837351258,35.981441251048366
2011370002604,경상북도 칠곡군 왜관읍,128.39770950579592,35.9890285713183
2011370002643,경상북도 칠곡군 왜관읍 566-1,128.40937251740579,35.919798728217266
2011370002646,경상북도 칠곡군 왜관읍 551-3,128.45437612485932,36.001392632062704
2011370002681,경상북도 칠곡군 왜관읍 732-1,128.41173642158114,35.91292573778985
2011370002691,경상북도 칠곡군 왜관읍 ,128.39770950579592,35.9890285713183
